table	as_iri	label	term_type	source_parent_id	source_parent_label	status	mapped_uberon_id	mapped_label	label_correction	label_correction_reason	parent_correction	parent_correction_label	mapping_evidence	curator_notes
muscular-system	https://purl.org/ccf/ASCTB-TEMP_rectus-capitius-posterior-minor-muscle	rectus capitius posterior minor muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_submucosal-artery-of-colon	submucosal artery of colon	confirmed_match	UBERON:0008455	rectus capitis posterior minor	rectus capitis posterior minor	Input contains a misspelling: 'capitius' is a typo for 'capitis' (genitive of Latin caput, head). The correctly spelled term already exists in UBERON as UBERON:0008455. The variant 'rectus capitus posterior minor muscle' is already registered there as a RELATED synonym; the input form 'rectus capitius posterior minor muscle' could also be added as an additional misspelling synonym if desired.			UBERON:0008455 'rectus capitis posterior minor' already lists 'rectus capitus posterior minor muscle' and 'rectus capitus posterior minor' as RELATED synonyms (Wikipedia:Rectus_capitis_posterior_minor_muscle). The input label is a typo variant ('capitius'/'capitus' for 'capitis') of the same anatomical structure. Confirmed match — exclude from template.	Input file was named 'unresolvable_submucosal_artery_of_colon.json' and listed parent_id UNRESOLVABLE:'submucosal artery of colon' for both is_a and part_of. That parent is wrong-domain (a colonic artery) for a suboccipital skeletal muscle and appears to be a pipeline mislabel. || SUGGESTION: Disregard the bogus 'submucosal artery of colon' parent. The term itself is a confirmed match to UBERON:0008455 (rectus capitis posterior minor); no new term is needed. Had a new term been required, the correct parents would have been: is_a UBERON:0004518 (muscle of vertebral column) and part_of UBERON:0000974 (neck), mirroring the other rectus capitis muscles.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_rectus-capitus-anterior-muscle	rectus capitus anterior muscle	leaf	UBERON:0001250, UBERON:0010400	red pulp of spleen, spleen trabecular vein	confirmed_match	UBERON:0008453	rectus capitis anterior	rectus capitis anterior muscle	Standard anatomical Latin is 'capitis' (genitive of caput), not 'capitus'. The source variant is already captured as a RELATED synonym on UBERON:0008453.			Source label 'rectus capitus anterior muscle' is an alternate spelling (capitus vs capitis) and is explicitly listed as a RELATED synonym on UBERON:0008453. FMA:46312, Wikipedia:Rectus_capitis_anterior_muscle. Excluded from template.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_respiratory-diaphragm-muscle	respiratory diaphragm muscle	leaf	http://purl.org/sig/ont/fma/fma12252	Subclavian lymphatic trunk	confirmed_match	UBERON:0001103	diaphragm					UBERON:0001103 has EXACT synonym 'diaphragm muscle' (BTO:0000341). UBERON:0001103 is_a UBERON:0014892 (skeletal muscle organ, vertebrate); part_of UBERON:0001004 (respiratory system); innervated_by UBERON:0001884 (phrenic nerve). FMA xref on UBERON:0001103 is FMA:13295 (label 'Diaphragm'). The source 'NEEDS_MAPPING:FMA:12252' appears to be an erroneous FMA ID — FMA:12252 resolves to 'Subclavian lymphatic trunk', which is unrelated to the term label 'respiratory diaphragm muscle'. The term label itself is a direct synonym of UBERON:0001103.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_right-crus-of-lumbar-part-of-respiratory-diaphragm-muscle	right crus of lumbar part of respiratory diaphragm muscle	leaf	http://purl.org/sig/ont/fma/fma5841	Left lumbar lymphatic trunk	confirmed_match	UBERON:0014766	right crus of diaphragm			UBERON:0014765	crus of diaphragm	UBERON:0014766 lists 'right crus of lumbar part of diaphragm' as an EXACT synonym, with xref FMA:58286. The source label 'right crus of lumbar part of respiratory diaphragm muscle' is a verbose HRA/ASCTB rendering of the same structure. The source parent FMA:5841 (lumbar part of diaphragm) is the broader region; UBERON:0014766 is the appropriate existing UBERON equivalent for the right crus itself.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	group	https://purl.org/ccf/ASCTB-TEMP_lobar-artery-of-spleen	lobar artery of spleen	new_term_group	UBERON:9900055	(new term: segmental back muscle)			UBERON:0001137	dorsum		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_sole-of-foot-muscle	sole of foot muscle	group	UBERON:0001383	muscle of leg	new_term_group	UBERON:9900056	(new term: sole of foot muscle)			UBERON:0008338	plantar part of pes		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_spermatic-cord-muscle	spermatic cord muscle	leaf	UBERON:0002378	muscle of abdomen	confirmed_match	UBERON:0008488	cremaster muscle					The cremaster muscle is the muscle of the spermatic cord — its defining feature is enveloping the spermatic cord and testis. FMA:21531 is mapped to UBERON:0008488. 'spermatic cord muscle' is an alternative descriptive label for this same structure.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_sphincter-urethrae-muscle	sphincter urethrae muscle	leaf	UBERON:0002379	perineal muscle	confirmed_match	UBERON:0004917	urethral sphincter					UBERON:0004917 'urethral sphincter' has 'sphincter urethrae' and 'urethral sphincter muscle' listed as EXACT synonyms. The source term 'sphincter urethrae muscle' is a direct synonym variant of this existing term. Parent UBERON:0002379 'perineal muscle' (muscle organ part_of perineum) is consistent with the urethral sphincter, which lies within the perineum (urogenital triangle). xref MA:0002650, EMAPA:37789, SCTID:277855007.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_spinotransversales-muscle	spinotransversales muscle	group	UBERON:0002324	muscle of back	confirmed_match	UBERON:0002252	splenius						
muscular-system	https://purl.org/ccf/ASCTB-TEMP_splenius-capitus-muscle	splenius capitus muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_spinotransversales-muscle	spinotransversales muscle	confirmed_match	UBERON:0000711	splenius capitis	splenius capitis	'capitus' is a misspelling of the Latin genitive 'capitis' (of the head). Standard anatomical nomenclature (TA2, FMA:22653) uses 'splenius capitis'. The existing UBERON:0000711 already carries 'splenius capitis muscle' as an EXACT synonym. Source label should be treated as a typographical variant; no new term required.			Source label 'splenius capitus muscle' is a misspelling of 'splenius capitis'. UBERON:0000711 already has 'splenius capitis muscle' as an EXACT synonym (xref Wikipedia:Splenius_capitis_muscle, FMA:22653). Parent of the source group ('spinotransversales muscle') was previously resolved to UBERON:0002252 splenius, which is the is_a parent of UBERON:0000711 — consistent with this match.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_sternal-part-of-respiratory-diaphragm-muscle	sternal part of respiratory diaphragm muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_respiratory-diaphragm-muscle	respiratory diaphragm muscle	new_term_leaf	UBERON:9900061	(new term: sternal part of respiratory diaphragm muscle)	sternal part of diaphragm	UBERON uses 'diaphragm' (UBERON:0001103) as the standard label; FMA and TA2 use 'sternal part of diaphragm' (FMA:58278, 'pars sternalis diaphragmatis'). The source 'respiratory diaphragm muscle' phrasing is non-standard. Keep source name as RELATED synonym.	UBERON:0001103	diaphragm		Source parent label 'respiratory diaphragm muscle' has no exact UBERON match but maps to UBERON:0001103 (diaphragm) which has synonym 'diaphragm muscle' (BTO:0000341). || SUGGESTION: Resolved to UBERON:0001103 (diaphragm). Precedent: sibling term 'costal diaphragm' (UBERON:0035831, FMA:58277) uses is_a UBERON:0000063 (organ subunit) + part_of UBERON:0001103. Same pattern applied here.
muscular-system	https://purl.org/ccf/ASCTB-TEMP_sternocostal-head-of-pectoralis-major-muscle	sternocostal head of pectoralis major muscle	leaf	UBERON:0002381	pectoralis major	new_term_leaf	UBERON:9900062	(new term: sternocostal head of pectoralis major muscle)			UBERON:0002381	pectoralis major		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_superficial-back-muscle	superficial back muscle	group	UBERON:0002324	muscle of back	new_term_group	UBERON:9900063	(new term: superficial back muscle)			UBERON:0001137	dorsum		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_superior-head-of-lateral-pterygoid-muscle	superior head of lateral pterygoid muscle	leaf	UBERON:0006719	lateral pterygoid muscle	new_term_leaf	UBERON:9900064	(new term: superior head of lateral pterygoid muscle)			UBERON:0006719	lateral pterygoid muscle		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_superior-longitudinal-lingual-muscle	superior longitudinal lingual muscle	leaf	UBERON:0001576	intrinsic muscle of tongue	confirmed_match	UBERON:0008582	superior longitudinal muscle of tongue	superior longitudinal muscle of tongue	Source label uses 'lingual muscle' word order; UBERON's canonical label is 'superior longitudinal muscle of tongue' (UBERON:0008582). Consider adding 'superior longitudinal lingual muscle' as an EXACT synonym to aid matching from HRA/ASCTB sources.			Input term is the same structure under the synonymous label 'superior longitudinal lingual muscle' / 'superior lingualis'. UBERON:0008582 is_a UBERON:0001576 (intrinsic muscle of tongue) — the parent matches the input group exactly. FMA:46693 matches the typical FMA assignment for this structure.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_tensor-fascia-latae-muscle	tensor fascia latae muscle	leaf	UBERON:0002000	gluteal muscle	confirmed_match	UBERON:0001376	tensor fasciae latae muscle	tensor fasciae latae muscle	Standard anatomical Latin uses the genitive 'fasciae' (of the fascia), not nominative 'fascia'. UBERON:0001376 already carries 'tensor fasciae lata muscle' as an EXACT synonym; the source variant 'tensor fascia latae muscle' could be added as an additional synonym if not already covered.			Source label 'tensor fascia latae muscle' is a spelling variant (singular fascia) of the standard 'tensor fasciae latae muscle' (UBERON:0001376). The existing UBERON term already includes 'tensor fasciae lata' and 'tensor fasciae lata muscle' as EXACT synonyms. FMA:22423 matches in both. Confirmed match — exclude from template.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_thoracic-intertransversarii-muscle	thoracic intertransversarii muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_segmental-back-muscle	segmental back muscle	new_term_leaf	UBERON:9900067	(new term: thoracic intertransversarii muscle)			UBERON:0006073	thoracic region of vertebral column		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_thoracic-wall-muscle	thoracic wall muscle	group	UBERON:0002426	chest muscle	new_term_group	UBERON:9900068	(new term: thoracic wall muscle)			UBERON:0016403	thoracic wall		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_thyroepiglottic-part-of-thyroarytenoid-muscle	thyroepiglottic part of thyroarytenoid muscle	leaf	http://purl.org/sig/ont/fma/fma46588	Thyro-arytenoid	confirmed_match	UBERON:0010927	thyroepiglotticus muscle					Source label 'thyroepiglottic part of thyroarytenoid muscle' matches UBERON:0010927 ('thyroepiglotticus muscle') exactly — UBERON synonyms include 'thyro-epiglottic part of thyro-arytenoid' (FMA:46594), 'thyroepiglottic muscle', 'pars thyroepiglottica musculus thyroarytenoidei'. UBERON xrefs FMA:46594 (the more specific TA2 ID for this sub-part). The source FMA:46588 cited in the input is the parent FMA term (thyroarytenoid muscle as a whole = UBERON:0008576), not the part itself.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_thyropharyngeal-part-of-inferior-pharyngeal-constrictor-muscle	thyropharyngeal part of inferior pharyngeal constrictor muscle	leaf	http://purl.org/sig/ont/fma/fma46623	Inferior pharyngeal constrictor	confirmed_match	UBERON:0010936	thyropharyngeus muscle					Source parent FMA:46623 is the inferior pharyngeal constrictor as a whole (= UBERON:0001570). The NTR label is a thyropharyngeal subdivision/part of that muscle, which is already represented in UBERON as UBERON:0010936 (thyropharyngeus muscle) with the requested label present as an EXACT synonym (FMA:46658). Exclude from new-term template.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_tibalis-anterior-muscle	tibalis anterior muscle	leaf	http://purl.org/sig/ont/fma/fma22472	Muscle of anterior compartment of leg	confirmed_match	UBERON:0001385	tibialis anterior	tibialis anterior muscle	Typo: 'tibalis' should be 'tibialis'. The corrected form is the standard TA2 name and is already recorded as an EXACT synonym of UBERON:0001385.			Source label 'tibalis anterior muscle' is a typo of 'tibialis anterior muscle', which is recorded as an EXACT synonym of UBERON:0001385 'tibialis anterior'. UBERON:0001385 carries FMA:22532 as xref; the input's parent FMA:22472 does not appear in UBERON and is likely a data error in the source row (the same FMA was assigned to both is_a and part_of, suggesting placeholder/self-reference). Term should be excluded from the template as already present in UBERON.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_tibalis-posterior-muscle	tibalis posterior muscle	leaf	http://purl.org/sig/ont/fma/fma22474	Muscle of posterior compartment of leg	confirmed_match	UBERON:0001667	tibialis posterior	tibialis posterior muscle	Spelling error — missing 'i'. Standard anatomical term is 'tibialis posterior muscle' (already a related synonym on UBERON:0001667). Term is a confirmed existing match so no new term is needed; record correction for the candidates/QC report.			Source label 'tibalis posterior muscle' is a misspelling of 'tibialis posterior muscle' (already present as a synonym of UBERON:0001667). FMA:22474 in the input is actually the parent class 'Muscle of posterior compartment of leg', not this term; the correct FMA xref for tibialis posterior is FMA:51099 (already on UBERON:0001667).	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_transverse-muscle	transverse muscle	leaf	UBERON:0001576	intrinsic muscle of tongue	confirmed_match	UBERON:0008583	transverse muscle of tongue	transverse muscle of tongue	Source label 'transverse muscle' is ambiguous outside the lingual context. UBERON's canonical label is 'transverse muscle of tongue' (UBERON:0008583). Already carries 'transverse muscle' as a RELATED synonym, so no synonym addition is needed.			Input term 'transverse muscle' under parent UBERON:0001576 (intrinsic muscle of tongue) unambiguously refers to the transverse muscle of tongue. UBERON:0008583 already carries 'transverse muscle' as a RELATED synonym (from Wikipedia) and 'intrinsic tongue muscle transverse component' (MA:0002328) as an EXACT synonym. FMA:46695.	
muscular-system	https://purl.org/ccf/ASCTB-TEMP_ventral-part-of-intertransversarii-laterales-lumborum-muscle	ventral part of intertransversarii laterales lumborum muscle	leaf	https://purl.org/ccf/ASCTB-TEMP_intertransversarii-laterales-lumborum-muscle	intertransversarii laterales lumborum muscle	new_term_leaf	UBERON:9900074	(new term: ventral part of intertransversarii laterales lumborum muscle)			UBERON:0008242	lower back muscle		
muscular-system	https://purl.org/ccf/ASCTB-TEMP_vertical-muscle	vertical muscle	leaf	UBERON:0001576	intrinsic muscle of tongue	confirmed_match	UBERON:0008584	vertical muscle of tongue	vertical muscle of tongue	Source label 'vertical muscle' is ambiguous outside the lingual context. UBERON's canonical label is 'vertical muscle of tongue' (UBERON:0008584). Already carries 'vertical muscle' as a RELATED synonym, so no synonym addition is needed.			Input term 'vertical muscle' under parent UBERON:0001576 (intrinsic muscle of tongue) unambiguously refers to the vertical muscle of tongue. UBERON:0008584 already carries 'vertical muscle' as a RELATED synonym and 'intrinsic tongue muscle vertical component' (MA:0002329) as an EXACT synonym. FMA:46696.	
