?x	?label
<http://purl.obolibrary.org/obo/UBERON_0012239>	"urinary bladder vasculature"
<http://purl.obolibrary.org/obo/UBERON_0012240>	"urethral meatus"
<http://purl.obolibrary.org/obo/UBERON_0012241>	"male urethral meatus"
<http://purl.obolibrary.org/obo/UBERON_0012242>	"internal urethral orifice"
<http://purl.obolibrary.org/obo/UBERON_0012294>	"navicular fossa of spongiose part of urethra"
<http://purl.obolibrary.org/obo/UBERON_0012295>	"Guérin's valve"
<http://purl.obolibrary.org/obo/UBERON_0012296>	"urethral crest"
<http://purl.obolibrary.org/obo/UBERON_0012297>	"male urethral crest"
<http://purl.obolibrary.org/obo/UBERON_0012298>	"female urethral crest"
<http://purl.obolibrary.org/obo/UBERON_0012299>	"mucosa of urethra"
<http://purl.obolibrary.org/obo/UBERON_0012301>	"female membranous urethra"
<http://purl.obolibrary.org/obo/UBERON_0012302>	"male membranous urethra"
<http://purl.obolibrary.org/obo/UBERON_0012303>	"ureteral orifice"
<http://purl.obolibrary.org/obo/UBERON_0012351>	"urachal lumen"
<http://purl.obolibrary.org/obo/UBERON_0012352>	"mesangial matrix"
<http://purl.obolibrary.org/obo/UBERON_0012378>	"muscle layer of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0012428>	"proximal convoluted tubule brush border"
<http://purl.obolibrary.org/obo/UBERON_0012441>	"endothelium of peritubular capillary"
<http://purl.obolibrary.org/obo/UBERON_0013244>	"vaginal plate"
<http://purl.obolibrary.org/obo/UBERON_0013245>	"sinovaginal bulb"
<http://purl.obolibrary.org/obo/UBERON_0014388>	"kidney collecting duct epithelium"
<http://purl.obolibrary.org/obo/UBERON_0014401>	"renal venous blood vessel"
<http://purl.obolibrary.org/obo/UBERON_0014464>	"renal fat pad"
<http://purl.obolibrary.org/obo/UBERON_0014782>	"allantois of embryonic urinary system"
<http://purl.obolibrary.org/obo/UBERON_0015418>	"urethra mesenchymal layer"
<http://purl.obolibrary.org/obo/UBERON_0015420>	"ureteral valve"
<http://purl.obolibrary.org/obo/UBERON_0015777>	"transitional epithelium of prostatic urethra"
<http://purl.obolibrary.org/obo/UBERON_0016500>	"muscularis mucosa of fundus of urinary bladder"
<http://purl.obolibrary.org/obo/UBERON_0016505>	"Mullerian tubercle"
<http://purl.obolibrary.org/obo/UBERON_0016510>	"epithelium of male urethra"
<http://purl.obolibrary.org/obo/UBERON_0016515>	"muscular layer of prostatic urethra"
<http://purl.obolibrary.org/obo/UBERON_0016516>	"lamina propria of prostatic urethra"
<http://purl.obolibrary.org/obo/UBERON_0016520>	"epithelium of female urethra"
<http://purl.obolibrary.org/obo/UBERON_0016524>	"muscle layer of spongiose part of urethra"
<http://purl.obolibrary.org/obo/UBERON_0018113>	"left kidney interstitium"
<http://purl.obolibrary.org/obo/UBERON_0018114>	"right kidney interstitium"
<http://purl.obolibrary.org/obo/UBERON_0018115>	"left renal pelvis"
<http://purl.obolibrary.org/obo/UBERON_0018116>	"right renal pelvis"
<http://purl.obolibrary.org/obo/UBERON_0018117>	"left renal cortex interstitium"
<http://purl.obolibrary.org/obo/UBERON_0018118>	"right renal cortex interstitium"
<http://purl.obolibrary.org/obo/UBERON_0018119>	"left renal medulla interstitium"
<http://purl.obolibrary.org/obo/UBERON_0018120>	"right renal medulla interstitium"
<http://purl.obolibrary.org/obo/UBERON_0034770>	"bulbourethral gland epithelium"
<http://purl.obolibrary.org/obo/UBERON_0034884>	"juxtaglomerular arteriole"
<http://purl.obolibrary.org/obo/UBERON_0034996>	"outer renal medulla loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0034997>	"renal medulla loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0035368>	"anterior surface of kidney"
<http://purl.obolibrary.org/obo/UBERON_0035471>	"posterior surface of kidney"
<http://purl.obolibrary.org/obo/UBERON_0035758>	"peritubular capillary plexus of kidney"
<http://purl.obolibrary.org/obo/UBERON_0035762>	"capillary network of kidney"
<http://purl.obolibrary.org/obo/UBERON_0036295>	"renal pelvis/ureter"
<http://purl.obolibrary.org/obo/UBERON_0036375>	"wall of right ureter"
<http://purl.obolibrary.org/obo/UBERON_0036376>	"wall of left ureter"
<http://purl.obolibrary.org/obo/UBERON_0036521>	"wall of urethra"
<http://purl.obolibrary.org/obo/UBERON_0037447>	"wall of male urethra"
<http://purl.obolibrary.org/obo/UBERON_0037455>	"wall of female urethra"
<http://purl.obolibrary.org/obo/UBERON_2001055>	"pronephric duct opening"
<http://purl.obolibrary.org/obo/UBERON_2001200>	"corpuscles of Stannius"
<http://purl.obolibrary.org/obo/UBERON_2001293>	"posterior kidney"
<http://purl.obolibrary.org/obo/UBERON_2002225>	"posterior pronephric duct"
<http://purl.obolibrary.org/obo/UBERON_2005292>	"distal late tubule"
<http://purl.obolibrary.org/obo/UBERON_2005311>	"pronephric glomerular capsule epithelium"
<http://purl.obolibrary.org/obo/UBERON_3010392>	"mesonephric early proximal tubule"
<http://purl.obolibrary.org/obo/UBERON_3010393>	"mesonephric late distal segment"
<http://purl.obolibrary.org/obo/UBERON_3010394>	"mesonephric late proximal tubule"
<http://purl.obolibrary.org/obo/UBERON_3011120>	"early proximal tubule"
<http://purl.obolibrary.org/obo/UBERON_3011121>	"late distal segment"
<http://purl.obolibrary.org/obo/UBERON_8410073>	"medullary region of kidney"
<http://www.w3.org/2002/07/owl#Nothing>	
<http://www.w3.org/2002/07/owl#Thing>	
